seed,species,event_dist,event_ndist,seed_dist,seed_ndist,nfactor,norm_leafno,norm_median,norm_mean,norm_width,norm_sum,norm_kurt,norm_skew,norm_D,norm_S,whole_leafno,whole_median,whole_mean,whole_width,whole_sum,whole_kurt,whole_skew,whole_D,whole_S
Phy0008BZR_HUMAN,HUMAN,0.1117673,0.9126915947378308,0.1703848,1.3913620068757706,0.122459,7,0.122459,0.2191632571428571,0.5984335,1.5341427999999997,1.1141438461397175,1.5992221406478566,0,6,8,0.17663725000000002,0.25038535,0.6570509999999999,2.0030828,1.296152100925697,1.4868312934664767,0,7
Phy00088GP_HUMAN,HUMAN,2.5881849,1.5278174249296372,2.7025564,1.5953314462869752,1.6940407,149,1.6940407,1.81053271409396,2.8097266000000003,269.7693744000002,3.2878113020723485,-0.3928889935131169,101,47,150,1.804747,1.912833996,2.9240981,286.9250994,3.9689629654969583,-0.7473051095295374,102,47
Phy001R7J5_HUMAN,HUMAN,0.5027609000000001,1.2862004492586054,1.5578394000000002,3.9853809955244266,0.39088845,18,0.39088845,0.5133509777777777,1.4985708,9.2403176,5.452416676557112,2.531243421001662,3,14,38,1.7021450500000004,2.0899420236842103,4.497466500000002,79.41779690000001,0.2257418836104992,0.4339425791736887,8,29
Phy0008AYM_HUMAN,HUMAN,1.2227121,0.6512666296854001,2.5222752,1.3434672550006403,1.87743705,54,1.87743705,1.989102855555556,3.3383239999999996,107.4115542,-0.9135437072997864,0.6853986132230333,9,44,150,2.3284654,2.210523723333333,4.6378871,331.5785585000001,-0.3481298861261375,0.504675758138127,37,112
Phy0008BHY_HUMAN,HUMAN,1.4082940000000002,1.0,1.7448255000000001,1.238963952129314,1.4082940000000002,15,1.4082940000000002,1.2534339533333332,1.9655831999999998,18.8015093,-1.2696196437181169,-0.3819929424313273,5,9,16,1.7190165000000002,1.5116258312500002,2.3021147,24.1860133,-1.2112740667638962,-0.38471792056416493,5,10
Phy00085A2_HUMAN,HUMAN,5.3751513,1.114904692540135,6.3523863,1.317601105423333,4.821175599999999,149,4.821175599999999,4.702006568456376,7.025432999999999,700.5989786999993,3.1039114252184783,-0.6836532458738453,34,114,150,5.796158900000001,5.647894858000001,8.002668,847.1842287000004,7.559325154702702,-1.5959030517684327,35,114
Phy001R73G_HUMAN,HUMAN,1.5242802,0.9937593734573156,1.6189102,1.0554537059758813,1.5338524,11,1.5338524,1.508849909090909,2.1129892000000003,16.597348999999998,3.524897070178437,-1.8333637008315955,0,10,12,1.6236963,1.4777424166666666,2.2076192000000003,17.732909,0.8886579129421235,-1.4329646031908,0,11
Phy0008KVI_HUMAN,HUMAN,4.3873801,3.2527041738357854,5.111820099999999,3.7897875716689455,1.3488408,51,1.3488408,2.045044294117647,4.204727,104.29725899999998,-1.1995960257349807,0.8259184132684969,9,41,53,2.506378,3.16103879245283,5.3949940000000005,167.53505599999994,-1.0198096426911296,0.7511650450191092,9,43
Phy0008LRW_HUMAN,HUMAN,1.1965736,0.992613468898932,1.22061735,1.0125588781013737,1.2054778999999998,149,1.2054778999999998,1.2497095973154364,2.0790589,186.20673000000005,-0.6206197193212915,0.12446119016645495,80,68,150,1.22792435,1.26542195,2.10310265,189.8132925,-0.16558145216921671,-0.05913068248783144,81,68
Phy001RME4_HUMAN,HUMAN,1.0465255,6.134471489910463,1.21082,7.09752487580416,0.1705975,13,0.1705975,0.19725292307692308,0.3846505,2.564288,2.0698346755494232,1.6698485618463472,0,12,31,1.1551085,1.3101470387096774,4.3048715,40.614558200000005,9.134446639367184,3.1289020545882744,1,29
Phy0008BDT_HUMAN,HUMAN,0.7974713000000001,0.9729507516696314,4.2228072999999995,5.1520142940454505,0.819642,43,0.819642,0.8137581348837208,1.2770565,34.991599799999996,0.6495694821224118,0.3829559883639109,4,38,150,4.850676,4.8037642379999985,7.8785735,720.5646356999998,0.5855234043143138,-0.578804016522854,51,98
Phy001RMMG_HUMAN,HUMAN,0.6502475000000001,0.9733263400259228,2.0387975,3.0517846031380373,0.6680672999999999,11,0.6680672999999999,0.7545417909090908,1.005436,8.299959699999999,-1.006429509702308,0.7512390340569137,0,10,12,2.05514915,2.080213308333333,2.393986,24.962559699999996,3.0082875841434418,-1.6611449852522622,0,11
Phy0008AAR_HUMAN,HUMAN,1.9648983,0.9773347572154912,2.0042663,0.9969162870697638,2.010466,22,2.010466,1.837077640909091,2.2423842,40.4157081,3.76144341664706,-2.236995739829388,1,20,23,2.037507,1.7965726999999996,2.2817522,41.321172100000005,2.0021456117052487,-1.8757655932680812,2,20
Phy00088FI_HUMAN,HUMAN,0.0026565,0.007470735051147747,9.120926899999997,25.65030238689492,0.3555875,29,0.3555875,0.39631654482758616,0.8881730999999999,11.493179800000002,4.678105155528233,2.43227033391218,4,24,150,2.8188248,5.255949748666666,10.2409365,788.3924623000003,-1.7935523820624002,0.3228698469205211,47,102
Phy0008JON_HUMAN,HUMAN,1.5680009,1.0042875624629035,1.5878154999999998,1.0169785987596158,1.5613066999999998,11,1.5613066999999998,1.4476163636363637,1.7212558999999998,15.92378,4.832576227632809,-2.450758708150645,0,10,12,1.5621988000000002,1.3467962666666666,1.7410705000000002,16.161555200000002,1.4410887878486012,-1.7496646411513133,0,11
Phy0007Y2V_HUMAN,HUMAN,1.0445151,0.5880688991717665,2.7975521,1.5750403070502894,1.7761781000000003,24,1.7761781000000003,1.7769333916666668,2.4328945,42.64640140000001,-0.19008929762909954,-0.2942564246387926,13,10,62,2.8351185,2.968127503225805,4.311227499999998,184.0239052,3.1678696751356066,-1.4526422778301211,28,33
Phy002621C_HUMAN,HUMAN,3.1638592,0.9766197205706132,3.2469407,1.0022653091336526,3.2396020000000005,149,3.2396020000000005,3.1938720046979867,4.347620899999999,475.8869287,16.537840253673593,-2.8495720247292833,74,74,150,3.3216887500000007,3.255661024666667,4.4307024,488.34915369999993,15.366869026700925,-3.0650160712360166,75,74
Phy001R841_HUMAN,HUMAN,2.9268069,1.0,3.4524919,1.1796104143392585,2.9268069,15,2.9268069,3.04402862,4.451802,45.6604293,0.17164014965681895,-0.08130608638836767,0,14,16,3.4514322999999996,3.3794618312499995,4.977487,54.07138930000001,1.7491954976901642,-1.1465323180954867,0,15
Phy00081U3_HUMAN,HUMAN,0.08045749999999999,0.9030037648772696,0.1112348,1.2484285888247848,0.08909985,6,0.08909985,0.09754598333333332,0.1505656,0.5852759,-1.0205120018756042,0.10716634078692693,0,5,7,0.11932939999999999,0.11438814285714285,0.18134289999999997,0.800717,-0.7622615258922951,-0.3156081566118954,0,6
Phy000888G_HUMAN,HUMAN,0.7275315,2.6027333061563693,0.8572274999999999,3.0667188502534377,0.27952595,42,0.27952595,0.3676426904761905,0.6257029999999999,15.440993000000004,-1.3954388283275554,0.4764455912352956,2,39,122,4.32875505,4.147559318852459,8.000347000000001,506.0022369,-0.07718079918533194,-0.26607416480181584,23,98
Phy0008LP2_HUMAN,HUMAN,0.0110539,0.04568181259335897,0.01627355,0.06725275797036855,0.24197595,2,0.24197595,0.24197595,0.47289799999999993,0.48395190000000005,-2.0,0.0,1,0,3,0.01627355,0.16653695,0.47811765,0.49961085,-1.4999999999999998,0.7057726204263517,1,1
Phy00083GU_HUMAN,HUMAN,0.9244561,1.1629973166132213,4.8612978999999985,6.115678627635738,0.794891,17,0.794891,0.7903603470588235,1.0103739999999999,13.436125899999999,0.32324287844196503,0.6224315906582613,0,16,150,3.2273345,3.202845450666666,5.802877799999999,480.42681760000005,-0.5717503551079393,-0.11843855270293513,15,134
Phy0024AVH_HUMAN,HUMAN,3.950248100000001,2.145839765921512,4.1341451000000005,2.245735642191579,1.8408868,49,1.8408868,2.0631965102040817,3.3650130000000003,101.096629,-0.4895870714707575,0.600579346706833,19,29,76,3.28514305,2.823517578947368,5.0175540000000005,214.58733600000005,-1.2523596453063517,-0.2880379351207215,28,47
Phy001R5N6_HUMAN,HUMAN,0.8726771999999999,0.4539876892093978,2.7387932,1.4247861592928202,1.9222486,24,1.9222486,1.9124856291666668,2.2627906,45.8996551,-0.641205138553822,-0.654548737715681,2,21,65,3.5220168000000003,3.474129106153846,4.608428599999999,225.81839190000002,1.2597401235251189,-0.717484921527183,5,59
Phy003J1TB_HUMAN,HUMAN,0.7791996999999999,0.9185433726044568,0.78471185,0.9250412560755384,0.8482993000000001,7,0.8482993000000001,1.0131921,2.2673223,7.0923447,0.153763704292472,0.5181378932943154,0,6,8,0.8263246999999999,0.8920552374999999,2.27283445,7.1364419,-0.1418091137402353,0.5167727320925708,1,6
Phy00089HX_HUMAN,HUMAN,1.431686,3.0520698830003563,1.678863,3.5790020996109675,0.4690869,37,0.4690869,0.6328452513513514,1.1347036,23.41527430000001,-1.3259594332046,0.6383252771593062,3,33,41,1.1903479,1.3394821000000001,2.0049879999999995,54.918766100000006,0.4930673945645258,-0.2832728219030738,3,37
Phy0008K3U_HUMAN,HUMAN,1.6490533,0.8570266874889529,1.6490534,0.8570267394597829,1.9241563,149,1.9241563,1.9915983805369133,3.7864516000000004,296.7481587000001,-0.1963326958181133,0.012826857001924792,76,72,150,1.91563055,1.9783211580000002,3.7864516999999993,296.74817370000005,-0.162012954332456,-0.0365585654914127,77,72
Phy0008ES8_HUMAN,HUMAN,0.36218590000000006,1.240825006029644,5.5766684999999985,19.105298481077877,0.2918912,10,0.2918912,0.28229279,0.39593059999999997,2.8229279000000003,1.0900388590181729,-1.0878911885191085,0,9,31,1.6217996,3.0277765677419346,5.6911811000000005,93.86107359999995,-1.6729058906118026,0.38566813579589504,6,24
Phy0008KHQ_HUMAN,HUMAN,1.2732044,2.4636513036002428,2.1900994000000003,4.2378436972289055,0.5167957000000001,33,0.5167957000000001,0.6203408575757575,1.1057386999999999,20.4712483,-1.1174331454847843,0.30220155684906336,5,27,41,2.1900627,2.1246426390243904,2.7911351000000004,87.11034820000003,0.4905153193704566,-0.9929075639503078,6,34
Phy0024HUY_HUMAN,HUMAN,1.1590009,0.8625745635219807,4.5315979,3.3725953799083537,1.3436530000000002,29,1.3436530000000002,1.5934023241379311,2.4653,46.2086674,-1.5350634510998131,0.4769526715911695,3,25,65,5.314833,5.199196463076923,8.005317999999999,337.9477701,7.508653455099486,-0.4778549582241184,7,57
Phy0008LGF_HUMAN,HUMAN,2.0178767,0.9312255307617632,2.6746617,1.2343238123472358,2.1669044,51,2.1669044,2.5494546764705883,3.9794587999999997,130.02218849999997,-1.156743043457911,0.3172024951139743,10,40,52,2.82212405,3.1572117019230768,4.636243799999999,164.1750085,-0.6873705021862682,0.07177634324002655,10,41
Phy003J1UP_HUMAN,HUMAN,3.5095669000000003,2.265669855490204,3.6521659,2.3577274412062783,1.54901955,38,1.54901955,1.6012046842105263,2.427517,60.845778,7.8212654520738365,2.565134867570196,3,34,99,3.7151343999999997,3.8891224151515154,5.1030298,385.0231191,7.830861226176393,-1.968242112924244,10,88
Phy0008LOD_HUMAN,HUMAN,2.5186389,1.9050379783945732,2.5936124,1.961746133292509,1.3220938000000002,50,1.3220938000000002,1.314650214,1.9476398999999998,65.73251070000002,-0.5513733985847007,0.28705829195635185,6,43,83,2.9246779,3.2128354337349396,5.149065500000002,266.665341,1.3767451119031298,-0.5529575741362925,12,70
Phy0008EMH_HUMAN,HUMAN,0.667297,1.2255055049282606,0.9309139999999999,1.7096438791344584,0.54450755,4,0.54450755,0.476318525,0.667297,1.9052741000000002,-1.2469158428384235,-0.5968767063967199,1,2,5,0.6965110999999999,0.64467182,0.9309139999999999,3.2233591,-1.589431915788103,-0.2431861492049747,1,3
Phy001RMJG_HUMAN,HUMAN,1.3997647,0.6670187688223239,2.0517097,0.97768494810222,2.0985387,55,2.0985387,2.073126027272727,4.1531707,114.0219315,-0.4574987784034317,0.6050341661963676,25,29,56,2.7302147,2.688050919642857,4.8051157,150.53085149999998,-0.2609308695194432,0.4041851422913177,25,30
Phy0024BO4_HUMAN,HUMAN,1.227316,1.0238864514466994,1.26281295,1.053499726408226,1.1986837,21,1.1986837,0.925612961904762,1.3252223,19.437872199999997,-0.8461725961902848,-0.9955223272255288,14,6,22,1.2298388999999998,0.9190365954545456,1.36071925,20.218805100000008,-1.1324036957263202,-0.8430921752921998,15,6
Phy0008CS0_HUMAN,HUMAN,5.6288423000000005,9.550490492253433,5.7536703000000005,9.762286908572827,0.5893773,19,0.5893773,0.6569210368421053,1.0529913,12.481499699999999,-1.6162826524270162,0.15151961991954627,1,17,58,6.05134105,6.091490129310344,10.496178999999998,353.30642749999987,1.6358966611626693,-0.6309222970776321,12,45
Phy003J1T0_HUMAN,HUMAN,1.520064,1.0,1.52607685,1.0039556558144922,1.520064,149,1.520064,1.55559718590604,2.2135796,231.78398069999997,2.894403175599773,-1.2139756797559065,69,79,150,1.52600685,1.5512393880000002,2.2195924499999995,232.68590820000009,3.2962382524497347,-1.375851192844614,70,79
Phy001RF3S_HUMAN,HUMAN,2.0590391,1.1153241710208537,4.7089981,2.550733204736749,1.8461351000000001,49,1.8461351000000001,1.861437812244898,3.364986,91.2104528,1.412754021560045,0.9554354055839452,10,38,54,4.606446299999999,4.417520322222222,6.136920000000003,238.54609740000006,11.02215213497202,-2.966755136474787,12,41
Phy0008BIU_HUMAN,HUMAN,1.4975204999999998,0.9621898923704942,3.6993655,2.3769237832030483,1.5563669,71,1.5563669,1.5357514591549297,3.239575,109.03835359999998,10.24055309154352,1.9431834167587376,35,35,86,3.702116,3.5132546244186047,5.441420000000001,302.1398976999999,3.9222849959127712,-1.4765723852952972,37,48
Phy001R6M6_HUMAN,HUMAN,2.2835537,0.924223209368242,2.6584667,1.075961833291943,2.4707816000000005,149,2.4707816000000005,2.5293771046979865,4.681404899999999,376.8771886000001,7.111286551329941,1.9382821656460687,125,23,150,2.83238395,2.8874275906666664,5.056317899999999,433.1141386000001,8.061024603959249,0.8402632016785397,126,23
